,property_name,society,property_type,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others,super_built_up_area,built_up_area,carpet_area
1236,3 BHK Flat in Sector 102 Gurgaon,bptp amstoria,flats,1.9,8444.0,2250.0,3,3,3,1.0,north-east,relative new,36,174,0,1,0,0,0,2727,2500,2250
1237,10 Bedroom House for sale in DLF Phase 3,independent,houses,4.5,33333.0,1350.0,10,8,3,4.0,East,relative new,97,56,0,1,1,0,0,,160,150
1238,3 BHK Flat in Sector 56 Gurgaon,rail vihar cghs,flats,1.35,10384.0,1300.0,3,2,2,1.0,west,old property,0,159,0,0,0,0,1,1300,1275,1250
1239,3 BHK Flat in Sector 81 Gurgaon,dlf the ultima,flats,2.12,10080.0,2103.0,3,3,3,9.0,south,relative new,85,49,1,1,0,1,1,2103,1650,1257
1240,2 BHK Flat in Sector 66 Gurgaon,emaar mgf palm studios,flats,1.7,13502.0,1259.0,2,2,2,7.0,na,relative new,34,99,0,0,0,0,1,1185,,
1241,4 Bedroom House for sale in Sushant Lok Phase 3,independent,houses,3.5,21605.0,1620.0,4,4,3,3.0,South,old property,52,67,0,0,1,0,0,,,
1242,2 BHK Flat in Sector 85 Gurgaon,orris carnation residency,flats,0.55,5788.0,950.0,2,2,2,5.0,north-east,relative new,0,174,0,0,0,0,1,1115,1050,950
1243,3 Bedroom House for sale in Sector 40 Gurgaon,independent,houses,2.15,23889.0,900.0,3,3,3,3.0,Na,relative new,27,45,1,0,1,1,0,,,
1244,4 Bedroom House for sale in Sector 92 Gurgaon,ansal heights,houses,2.75,9793.0,2808.0,4,4,3,3.0,Na,relative new,0,0,1,0,0,1,0,,5000,
1245,4 Bedroom House for sale in C Block Sushant Lok Phase 1,independent,houses,5.75,29716.0,1935.0,4,4,2,2.0,North,old property,0,34,0,1,1,1,0,,,
1246,2 BHK Flat in Sector 60 Gurgaon,ireo skyon,flats,2.05,15185.0,1350.0,2,3,2,2.0,north-east,relative new,75,174,0,0,1,0,0,1524,1520,1350
1247,3 BHK Flat in Sector 106 Gurgaon,godrej meridien,flats,3.2,16000.0,2000.0,3,3,3,6.0,na,Under Construction,0,49,0,1,0,0,0,,,2002
1248,3 BHK Flat in Bhondsi,maruti kunj,flats,0.8,5161.0,1550.0,3,2,0,0.0,na,old property,0,8,0,0,0,0,0,1550,,
1249,4 BHK Flat in Sector 69 Gurgaon,unitech sunbreeze,flats,1.0,5476.0,1826.0,4,3,0,0.0,na,Undefined,0,0,0,0,0,0,0,,1826,
1250,3 BHK Flat in Sector 39 Gurgaon,milan cghs 9,flats,2.0,8333.0,2400.0,3,3,3,0.0,na,Undefined,4,0,0,0,0,0,0,,2400,
1251,3 BHK Flat in Sector 85 Gurgaon,orris aster court premier,flats,1.25,5896.0,2120.0,3,4,2,6.0,east,relative new,79,49,0,1,0,0,0,2120,1616,
1252,2 BHK Flat in Sector 70A Gurgaon,aipl zen residences,flats,1.25,9904.0,1262.0,2,2,2,19.0,na,new property,21,42,0,0,0,0,0,,,1262
1253,5 Bedroom House for sale in Sector 70A Gurgaon,bptp visionnaire,houses,5.25,20115.0,2610.0,5,4,3,3.0,North-East,new property,17,49,0,1,0,0,0,,,
1254,2 BHK Flat in Sector 70 Gurgaon,shree vardhman victoria,flats,1.07,7925.0,1350.0,2,2,3,8.0,north,relative new,4,108,1,0,0,0,0,1350,,
1255,3 BHK Flat in Sector 81 Gurgaon,dlf the ultima,flats,2.4,11412.0,2103.0,3,4,3,19.0,north-west,relative new,42,174,0,1,0,0,0,2103,,
1256,3 BHK Flat in Sector 61 Gurgaon,smart world orchard,flats,2.0,12911.0,1549.0,3,3,2,3.0,na,new property,15,0,0,0,0,0,1,,,1549
1257,4 Bedroom House for sale in Saraswati Vihar,housing board colony,houses,5.5,30556.0,1800.0,4,3,3,2.0,North,old property,11,22,0,0,0,1,1,,,
1258,2 BHK Flat in Sohna,eldeco accolade,flats,0.78,6170.0,1264.0,2,2,2,3.0,na,relative new,22,72,0,0,0,0,0,1264,,
1259,3 BHK Flat in Sector 63A Gurgaon,birla navya,flats,3.15,14632.0,2153.0,3,3,3,4.0,east,Under Construction,20,44,0,0,0,0,1,,,200
1260,3 BHK Flat in Sector 113 Gurgaon,la vida by tata housing,flats,1.9,18500.0,1027.0,3,2,2,10.0,north-east,relative new,47,174,0,0,0,1,0,1579,,1027
1261,4 BHK Flat in Sector 102 Gurgaon,conscient heritage max,flats,2.65,10375.0,2554.0,4,5,3,17.0,north,relative new,35,125,0,1,0,0,0,2554,,
1262,3 BHK Flat in Sector 82 Gurgaon,vatika the seven lamps,flats,1.28,6819.0,1877.0,3,3,3,3.0,north,relative new,38,165,1,0,0,0,0,1877,1800,1500
1263,2 BHK Flat in Sector-33 Sohna,eldeco accolade,flats,1.2,8043.0,1492.0,2,2,2,0.0,na,Undefined,0,0,0,0,0,0,0,,1492,849
1264,3 BHK Flat in Sector 109 Gurgaon,sbtl caladium,flats,1.63,6404.0,2545.0,3,3,2,8.0,north-west,relative new,0,159,0,1,0,0,0,2545,,
1265,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.52,9632.0,1578.0,3,3,2,4.0,south-west,relative new,62,156,0,0,0,1,0,1578,,
1266,2 BHK Flat in Sector 37D Gurgaon,signature global the millennia 3,flats,0.45,7627.0,590.0,2,3,2,8.0,na,Under Construction,0,8,0,0,0,0,0,,,590
1267,10 Bedroom House for sale in Rajiv Nagar,independent,houses,1.5,11538.0,1300.0,10,7,3,4.0,East,relative new,0,0,0,0,0,0,0,,,
1268,2 BHK Flat in Sector 86 Gurgaon,pyramid urban homes 2,flats,0.43,8582.0,501.0,2,2,1,6.0,north-east,new property,0,92,1,0,0,0,0,,,501
1269,4 BHK Flat in Sector 108 Gurgaon,sobha city,flats,4.1,23401.0,1752.0,4,5,3,25.0,north-east,new property,35,97,1,1,0,0,0,2344,2343,1752
1270,3 BHK Flat in Sector 92 Gurgaon,sare homes,flats,0.82,5384.0,1523.0,3,3,3,12.0,west,relative new,11,114,0,0,0,0,0,1523,1221,
1271,4 BHK Flat in Sector 67 Gurgaon,ireo victory valley,flats,4.55,14536.0,3130.0,4,4,3,19.0,south,relative new,82,156,0,1,0,0,0,3130,,
1272,4 Bedroom House for sale in Sector 109 Gurgaon,international city by sobha phase 2,houses,8.48,23556.0,3600.0,4,6,3,3.0,North-East,new property,0,153,1,1,1,1,0,,,
1273,4 Bedroom House for sale in Sector 91 Gurgaon,dlf new town heights,houses,2.5,7058.0,3542.0,4,4,3,3.0,East,relative new,69,80,1,1,1,1,0,,,
1274,3 BHK Flat in Sector 106 Gurgaon,paras dews,flats,1.17,6647.0,1760.0,3,4,3,12.0,west,relative new,1,49,0,1,0,0,0,1760,1186,1130
1275,4 BHK Flat in Sector 72 Gurgaon,tata primanti,flats,3.9,13425.0,2905.0,4,4,3,39.0,east,relative new,35,49,0,1,0,0,1,2905,,2150
1276,1 BHK Flat in Sector 28 Gurgaon,maruti vihar,flats,1.0,9090.0,1100.0,1,1,1,1.0,north,old property,36,80,1,0,0,1,0,1100,,
1277,3 BHK Flat in Sector 102 Gurgaon,emaar gurgaon greens,flats,1.38,13495.0,1023.0,3,3,3,6.0,north-east,relative new,39,128,0,1,0,0,0,1650,,1022
1278,2 BHK Flat in Sector-35 Sohna,hcbs sports ville,flats,0.27,3600.0,750.0,2,2,2,2.0,north-east,new property,3,68,0,0,0,0,0,750,,600
1279,2 BHK Flat in Sector 95 Gurgaon,rof ananda,flats,0.31,5644.0,549.0,2,2,1,5.0,north,relative new,18,74,0,0,0,1,0,,,549
1280,4 BHK Flat in Sector 76 Gurgaon,corona gracieux,flats,1.46,5500.0,2655.0,4,6,3,8.0,na,new property,0,58,0,1,0,0,0,2650,,
1281,2 BHK Flat in Sector 107 Gurgaon,signature global solera,flats,0.28,5674.0,493.0,2,2,2,6.0,west,relative new,0,45,0,0,0,0,0,,,489
1282,5 Bedroom House for sale in Nirvana Country,unitech espace,houses,10.45,32253.0,3240.0,5,7,3,3.0,Na,relative new,35,153,1,1,0,1,1,,,
1283,1 BHK Flat in Sector 95 Gurgaon,rof ananda,flats,0.2,5463.0,366.0,1,1,1,9.0,south-west,relative new,0,52,0,0,0,1,0,,,366
1284,4 Bedroom House for sale in Nirvana Country,unitech nirvana birch court,houses,6.8,31481.0,2160.0,4,4,3,2.0,South-East,old property,7,105,1,1,0,1,0,,,
1285,2 BHK Flat in Sector 84 Gurgaon,alpha corp gurgaonone,flats,1.15,7496.0,1534.0,2,2,3,14.0,south-east,relative new,0,28,1,0,0,0,0,1534,,1260
1286,2 Bedroom House for sale in Baldev Nagar,independent,houses,0.53,5888.0,900.0,2,2,0,1.0,Na,Undefined,1,0,0,0,0,0,0,,900,
1287,3 Bedroom House for sale in Palam Vihar,independent,houses,2.55,16378.0,1557.0,3,3,2,2.0,South,old property,2,8,0,0,0,0,0,,,
1288,3 Bedroom House for sale in Sector 4 Gurgaon,independent,houses,3.25,14444.0,2250.0,3,3,2,2.0,South-East,old property,30,27,0,0,0,0,0,,,
1289,3 BHK Flat in Sector 67A Gurgaon,ireo the corridors,flats,2.0,11580.0,1727.0,3,3,2,6.0,na,under construction,15,15,0,0,0,0,1,1727,,1017
1290,6 Bedroom House for sale in Sector 33 Gurgaon,unitech uniworld resorts,houses,9.55,19293.0,4950.0,6,7,3,2.0,East,relative new,41,126,1,1,1,1,0,,,
1291,4 BHK Flat in Gwal Pahari,paras quartier,flats,7.5,14018.0,5350.0,4,4,3,20.0,north-east,new property,102,49,0,1,0,1,1,5350,,
1292,2 BHK Flat in Sector 112 Gurgaon,experion windchants,flats,2.6,10651.0,2441.0,2,2,3,8.0,north-east,relative new,18,168,0,0,0,0,0,2441,1939,
1293,3 BHK Flat in Sector 37D Gurgaon,bptp terra,flats,1.4,7730.0,1811.0,3,3,3,5.0,south-east,relative new,42,149,0,0,0,0,0,1811,1711,1611
1294,3 BHK Flat in Sector 92 Gurgaon,bestech park view sanskruti,flats,1.68,11052.0,1520.0,3,4,3,15.0,east,relative new,69,174,0,1,0,0,0,2120,,1520
1295,3 BHK Flat in Sector 54 Gurgaon,dlf park place,flats,4.85,25866.0,1875.0,3,4,3,25.0,south-east,relative new,102,26,0,1,0,0,0,1875,,
1296,4 BHK Flat in Sector 70 Gurgaon,tulip ivory,flats,2.35,9791.0,2400.0,4,4,3,8.0,west,relative new,3,108,0,1,0,0,0,,,2400
1297,6 Bedroom House for sale in DLF Phase 1,dlf city plots,houses,17.3,38734.0,4466.0,6,7,3,3.0,North,new property,63,124,1,1,1,1,0,,,
1298,3 Bedroom House for sale in Sector 36 Gurgaon,independent,houses,0.75,6938.0,1081.0,3,1,0,1.0,Na,Undefined,1,0,0,0,0,0,0,,1081,
1299,4 Bedroom House for sale in Pataudi Road,independent,houses,1.45,2.0,7250000.0,4,3,3,3.0,South,relative new,0,0,0,0,0,0,0,,,
1300,8 Bedroom House for sale in Mayfield Garden,independent,houses,5.5,1087.0,50598.0,8,8,2,3.0,North-East,relative new,140,49,0,0,0,1,0,,8260,4860
1301,3 BHK Flat in Sector 79 Gurgaon,mapsko mount ville,flats,1.25,7716.0,1620.0,3,3,2,1.0,south-west,relative new,39,166,1,0,0,1,0,1620,,862
1302,4 Bedroom House for sale in DLF Phase 1,independent,houses,5.8,32222.0,1800.0,4,3,2,2.0,East,relative new,5,21,0,0,1,0,0,,,
1303,4 BHK Flat in Sector 72 Gurgaon,tata primanti,flats,4.25,13076.0,3250.0,4,4,3,0.0,north,relative new,101,174,0,1,0,0,0,3250,,
1304,3 BHK Flat in Sector 102 Gurgaon,emaar gurgaon greens,flats,1.4,8484.0,1650.0,3,3,3,9.0,south-west,relative new,0,49,0,1,0,0,0,1650,,1200
1305,3 BHK Flat in Nirvana Country,the close south,flats,3.1,12444.0,2491.0,3,4,3,4.0,north-east,relative new,83,165,0,1,0,0,0,2491,2450,2250
1306,4 Bedroom House for sale in Sector 86 Gurgaon,dlf new town heights,houses,2.47,7718.0,3200.0,4,4,3,,West,relative new,55,130,0,1,0,1,0,,2800,2200
1307,2 BHK Flat in Sector 93 Gurgaon,signature global orchard avenue,flats,0.85,14237.0,597.0,2,2,0,10.0,na,Undefined,1,0,0,0,0,0,0,,597,
1308,2 Bedroom House for sale in Narsinghpur,independent,houses,0.53,63554.0,83.0,2,1,1,1.0,East,new property,20,128,0,0,1,0,0,,84,82
1309,9 Bedroom House for sale in Sector 12 Gurgaon,anamika enclave,houses,6.0,14492.0,4140.0,9,9,3,3.0,North-West,old property,0,9,0,0,0,0,0,,9000,
1310,3 BHK Flat in Sector 79 Gurgaon,godrej,flats,1.34,8524.0,1572.0,3,3,3,7.0,east,relative new,0,158,0,0,0,0,0,1572,,
1311,3 BHK Flat in Heritage City,unitech heritage city,flats,3.63,14500.0,2503.0,3,3,1,11.0,na,old property,0,69,0,1,1,0,0,,,2500
1312,2 BHK Flat in Sohna,eldeco accolade,flats,0.95,6178.0,1538.0,2,2,3,8.0,south,under construction,0,72,1,0,0,0,1,1457,1050,849
1313,4 BHK Flat in Sector 99A Gurgaon,pareena coban residences,flats,1.38,7150.0,1930.0,4,5,3,1.0,south-east,relative new,30,49,0,1,0,0,1,2352,2150,1930
1314,3 BHK Flat in Sector 56 Gurgaon,mariners home,flats,2.11,8612.0,2450.0,3,2,3,4.0,south,relative new,51,126,0,0,0,0,1,2450,2250,2150
1315,2 BHK Flat in Sector 106 Gurgaon,paras dews,flats,0.97,8818.0,1100.0,2,2,3,6.0,north-east,new property,30,174,0,0,0,1,0,1385,1200,1100
1316,2 BHK Flat in Sector 95 Gurgaon,ramsons kshitij,flats,0.35,5495.0,637.0,2,2,0,5.0,na,Undefined,0,0,0,0,0,0,0,,637,
1317,3 BHK Flat in Sector 81 Gurgaon,bestech park view ananda,flats,1.35,7541.0,1790.0,3,3,3,8.0,north,old property,0,114,0,0,0,0,0,,,1790
1318,4 BHK Flat in Sector 69 Gurgaon,tulip purple,flats,2.6,10833.0,2400.0,4,4,3,4.0,na,relative new,32,37,0,1,0,0,0,2400,,
1319,2 BHK Flat in Sector 107 Gurgaon,signature global solera,flats,0.28,5674.0,493.0,2,2,2,11.0,north,relative new,10,29,0,0,0,0,0,,,489
1320,4 Bedroom House for sale in Sector 46 Gurgaon,independent,houses,2.25,24510.0,918.0,4,3,3,3.0,North-East,relative new,14,35,1,0,0,0,0,,90,85
1321,3 BHK Flat in Sector-33 Sohna,central park flower valley,flats,1.55,11923.0,1300.0,3,3,3,7.0,north-east,new property,70,28,0,0,0,0,0,,,1300
1322,3 BHK Flat in Sector 76 Gurgaon,corona gracieux,flats,1.08,5510.0,1960.0,3,3,3,1.0,na,new property,0,58,0,1,0,0,0,1960,,
1323,2 BHK Flat in Sector 103 Gurgaon,satya the hermitage,flats,0.89,6137.0,1450.0,2,3,3,1.0,na,relative new,34,75,0,1,0,0,0,1450,,1081
1324,3 BHK Flat in Sector 69 Gurgaon,unitech sunbreeze,flats,0.74,5500.0,1345.0,3,3,1,10.0,na,under construction,0,60,0,1,0,0,0,1337,,
1325,3 BHK Flat in Sector 63A Gurgaon,birla navya,flats,3.23,26875.0,1202.0,3,3,3,4.0,west,new property,14,52,0,1,0,0,0,2150,,1200
1326,3 BHK Flat in Sector 92 Gurgaon,sare green parc phase 3,flats,0.79,6086.0,1298.0,3,2,2,15.0,north,new property,0,29,0,0,0,0,0,1298,,
1327,3 BHK Flat in Sector 82 Gurgaon,mapsko royale ville,flats,1.12,6256.0,1790.0,3,3,2,12.0,north-east,relative new,27,49,0,0,0,1,0,1790,,1400
1328,3 BHK Flat in Sector 89 Gurgaon,smart world gems,flats,1.71,12000.0,1425.0,3,2,0,3.0,na,Undefined,1,0,0,0,0,0,0,,1423,
1329,3 Bedroom House for sale in Sushant Lok Phase 2,independent,houses,1.64,10123.0,1620.0,3,3,2,4.0,South,new property,30,54,1,1,0,0,0,,,
1330,3 BHK Flat in Sector 56 Gurgaon,kiran residency,flats,1.55,7750.0,2000.0,3,3,3,5.0,north,old property,0,166,0,1,0,1,1,2000,1800,1700
1331,3 BHK Flat in Sector 54 Gurgaon,shree arihant apartment,flats,1.55,8611.0,1800.0,3,3,3,3.0,north-east,relative new,45,109,0,1,0,0,0,2000,1900,1800
1332,3 BHK Flat in Sector 65 Gurgaon,emaar mgf emerald floors premier,flats,2.25,13636.0,1650.0,3,3,3,3.0,south-west,relative new,90,49,1,1,0,0,0,1650,1600,1350
1333,1 Bedroom House for sale in C Block Sushant Lok Phase 1,independent,houses,3.35,26973.0,1242.0,1,1,0,1.0,East,old property,0,9,0,0,0,0,0,,,
1334,2 BHK Flat in Sector 81 Gurgaon,signature global synera,flats,0.5,7886.0,634.0,2,2,1,11.0,east,new property,48,97,0,0,0,0,0,,,634
1335,3 BHK Flat in Sector 90 Gurgaon,dlf regal gardens,flats,1.25,8116.0,1540.0,3,3,3,8.0,south-east,relative new,0,158,0,0,0,1,0,1702,1640,1540
1336,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.4,9102.0,1538.0,3,3,1,12.0,north-west,relative new,38,157,0,0,0,0,0,1538,,
1337,3 BHK Flat in Sector 85 Gurgaon,orris carnation residency,flats,0.88,5952.0,1478.0,3,3,1,1.0,south,relative new,0,65,0,0,0,0,0,1485,,
1338,3 BHK Flat in Sector 54 Gurgaon,sunischit apartments,flats,1.75,7954.0,2200.0,3,4,3,5.0,east,relative new,36,83,0,1,0,0,0,2200,1900,1700
1339,5 Bedroom House for sale in Sector 66 Gurgaon,emaar mgf marbella,houses,15.1,18605.0,8116.0,5,5,3,3.0,East,new property,0,120,1,1,1,1,0,,,
1340,5 Bedroom House for sale in Sector 109 Gurgaon,international city by sobha phase 2,houses,12.5,26667.0,4687.0,5,6,3,3.0,East,relative new,81,63,1,1,1,1,0,,,
1341,2 BHK Flat in Dayanand Colony,divya apartments,flats,0.6,7594.0,790.0,2,2,0,2.0,south-west,relative new,25,15,0,0,0,0,0,,790,750
1342,3 BHK Flat in Sector 48 Gurgaon,parsvnath green ville,flats,1.6,8376.0,1910.0,3,3,3,13.0,north-west,old property,26,119,0,0,0,0,1,1910,1700,1600
1343,3 Bedroom House for sale in Rajendra Park,independent,houses,1.3,11556.0,1125.0,3,3,1,1.0,East,Undefined,0,0,0,0,0,0,0,,1125,
1344,3 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,1.93,8075.0,2390.0,3,4,3,7.0,north-east,relative new,20,174,0,1,0,0,0,2408,2400,2390
1345,4 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,2.13,7574.0,2812.0,4,4,3,2.0,north,relative new,30,49,0,0,0,0,0,2812,2600,2200
1346,3 BHK Flat in Sector 70 Gurgaon,shree vardhman victoria,flats,1.9,9743.0,1950.0,3,3,3,10.0,north-east,new property,0,36,0,1,1,1,1,1950,,
1347,2 BHK Flat in Sector 79 Gurgaon,godrej,flats,1.33,8531.0,1559.0,2,2,3,6.0,north-west,relative new,0,158,1,0,0,0,0,1559,,
1348,3 BHK Flat in Sector 79 Gurgaon,mapsko mount ville,flats,1.3,8724.0,1490.0,3,3,3,19.0,east,relative new,37,102,0,0,1,0,0,1490,1176,863
1349,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.43,9039.0,1582.0,3,3,2,1.0,north-east,relative new,0,102,0,0,0,1,0,1578,,
1350,2 BHK Flat in Sector 36A Gurgaon,krisumi waterfall residences,flats,2.3,15551.0,1479.0,2,2,2,23.0,na,Undefined,0,0,0,0,0,0,0,,1479,
1351,2 BHK Flat in Palam Vihar,bestech park view residency,flats,1.01,7137.0,1415.0,2,2,3,0.0,east,relative new,13,92,0,0,0,0,0,1415,,
1352,3 BHK Flat in Sector 52 Gurgaon,pgr shree kripaluji apartment,flats,1.4,6086.0,2300.0,3,3,3,8.0,north-east,relative new,39,80,0,0,0,0,0,,,2300
1353,3 BHK Flat in Sector 65 Gurgaon,emaar mgf emerald floors premier,flats,2.35,14242.0,1650.0,3,3,3,2.0,south-west,relative new,0,158,1,1,0,0,0,,1650,1200
1354,2 BHK Flat in Sector 102 Gurgaon,shapoorji pallonji joyville gurugram,flats,1.4,10378.0,1349.0,2,2,2,11.0,north-east,new property,63,49,0,0,0,0,0,1349,,1000
1355,6 BHK Flat in Sector 70 Gurgaon,tulip ivory,flats,5.0,10416.0,4800.0,6,7,3,0.0,na,relative new,0,119,1,1,0,0,0,,,4800
1356,3 BHK Flat in Sector 56 Gurgaon,guru gram haryana cghs,flats,1.39,7227.0,1923.0,3,3,3,4.0,north,relative new,25,134,1,0,0,0,0,1920,,
1357,3 BHK Flat in Sector 104 Gurgaon,ats triumph,flats,1.75,7641.0,2290.0,3,4,3,12.0,north-west,relative new,39,21,1,1,0,1,1,2290,,1800
1358,6 Bedroom House for sale in Nirvana Country,independent,houses,13.2,27155.0,4861.0,6,6,0,2.0,Na,Undefined,0,0,0,0,0,0,0,,4861,
1359,3 Bedroom House for sale in Sector 48 Gurgaon,vipul tatvam villa,houses,6.4,24691.0,2592.0,3,4,3,2.0,North,relative new,77,148,1,1,1,0,0,,240,200
1360,2 BHK Flat in Sohna,ashiana anmol,flats,0.88,11125.0,791.0,2,2,2,13.0,east,relative new,48,127,0,0,0,0,0,1275,,791
1361,1 BHK Flat in Sector 83 Gurgaon,sapphire eighty three,flats,0.65,9286.0,700.0,1,1,0,6.0,na,Undefined,4,0,0,0,0,0,0,,700,
1362,2 BHK Flat in Sector 104 Gurgaon,zara aavaas,flats,0.4,7029.0,569.0,2,2,1,14.0,na,relative new,8,38,0,0,0,0,0,569,,
1363,3 BHK Flat in Sector 81 Gurgaon,dlf the ultima,flats,2.28,10841.0,2103.0,3,3,3,14.0,east,relative new,85,49,0,1,0,0,0,2103,1750,1257
1364,3 BHK Flat in Sector 28 Gurgaon,rose apartment,flats,3.0,10482.0,2862.0,3,5,3,8.0,na,old property,38,0,0,0,0,0,0,2862,,
1365,2 BHK Flat in Sohna,gls arawali homes,flats,0.32,6722.0,476.0,2,1,0,0.0,na,Undefined,1,0,0,0,0,0,0,,476,
1366,3 BHK Flat in Sector 65 Gurgaon,m3m heights,flats,2.86,14000.0,2043.0,3,3,3,45.0,east,Under Construction,0,0,0,1,0,0,0,,,2040
1367,3 BHK Flat in Sector-33 Sohna,godrej nature plus,flats,1.67,10500.0,1590.0,3,2,2,18.0,na,Under Construction,0,67,0,0,0,0,0,,,1671
1368,2 BHK Flat in Sector 36 Gurgaon,signature global infinity mall,flats,0.41,6269.0,654.0,2,2,3,3.0,na,Undefined,0,0,0,0,0,0,0,,654,
1369,10 Bedroom House for sale in Rajiv Nagar,independent,houses,9.0,100000.0,900.0,10,5,3,4.0,Na,old property,13,0,0,0,0,0,0,,,
1370,3 BHK Flat in Sector 109 Gurgaon,ats kocoon,flats,2.22,10596.0,2095.0,3,4,3,14.0,east,relative new,19,45,1,1,1,1,0,2095,1860,
1371,3 BHK Flat in Sector 90 Gurgaon,shree vardhman flora,flats,0.9,4615.0,1950.0,3,4,3,4.0,east,relative new,0,165,0,1,0,0,0,1950,,
1372,4 BHK Flat in Sector 53 Gurgaon,parsvnath exotica,flats,6.44,19000.0,3389.0,4,4,3,7.0,west,relative new,84,80,0,1,0,0,0,3390,,
1373,3 BHK Flat in Sector 77 Gurgaon,emaar mgf palm hills,flats,1.5,12744.0,1177.0,3,3,3,4.0,north-east,relative new,95,97,0,0,0,0,0,1450,,1177
1374,2 BHK Flat in Sector 81 Gurgaon,vipul lavanya,flats,0.6,6666.0,900.0,2,2,1,0.0,east,relative new,26,49,0,0,0,0,0,,,900
1375,2 BHK Flat in Sector 61 Gurgaon,smart world orchard,flats,1.47,12782.0,1150.0,2,2,2,4.0,east,Under Construction,16,31,1,0,0,0,0,,,1150
1376,3 Bedroom House for sale in Bissar,silverglades tarudhan valley golf resort,houses,3.05,12551.0,2430.0,3,3,2,2.0,Na,relative new,93,160,1,1,0,1,1,,,
1377,4 Bedroom House for sale in Sector 76 Gurgaon,ninex city,houses,1.75,6250.0,2800.0,4,4,0,14.0,Na,Undefined,1,0,0,0,0,0,0,,,2800
1378,3 BHK Flat in BPTP,bptp amstoria,flats,2.25,8653.0,2600.0,3,3,3,7.0,na,relative new,0,0,0,0,0,0,0,2600,,
1379,2 BHK Flat in Sector 77 Gurgaon,umang winter hills,flats,1.0,7500.0,1333.0,2,2,2,3.0,na,new property,0,74,0,0,0,0,0,,,1340
1380,3 Bedroom House for sale in Lajpat Nagar,independent,houses,3.5,17500.0,2000.0,3,3,1,2.0,North-East,Undefined,4,0,0,0,0,0,0,,2000,
1381,2 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,1.05,6402.0,1640.0,2,2,3,11.0,north-east,relative new,0,44,0,0,0,0,0,1640,,
1382,3 BHK Flat in Sector 53 Gurgaon,vipul belmonte,flats,6.0,24489.0,2450.0,3,4,3,6.0,north-west,relative new,83,26,0,1,0,0,1,2450,,
1383,5 Bedroom House for sale in Ansal Plaza,independent,houses,2.8,161849.0,173.0,5,5,3,2.0,North-East,old property,44,74,0,0,0,1,0,,160,150
1384,3 BHK Flat in Sector 92 Gurgaon,raheja sampada,flats,0.9,6569.0,1370.0,3,2,3,11.0,east,relative new,0,88,0,0,0,0,0,1370,,
1385,2 BHK Flat in Sector 81 Gurgaon,signature global synera,flats,0.48,8026.0,598.0,2,2,1,14.0,na,relative new,31,14,0,0,0,0,0,598,,498
1386,3 Bedroom House for sale in New Palam Vihar Phase 1,independent,houses,0.95,10555.0,900.0,3,2,2,3.0,South-East,old property,0,16,0,0,1,0,0,,,
1387,2 BHK Flat in Ashok Vihar Phase 2,ashok vihar phase 2,flats,0.28,4307.0,650.0,2,2,1,3.0,north,relative new,10,64,0,0,0,0,0,650,,550
1388,4 BHK Flat in Sector 104 Gurgaon,ats triumph,flats,2.52,8000.0,3150.0,4,4,3,19.0,north-east,relative new,52,156,0,1,1,0,0,3150,2800,2400
1389,3 BHK Flat in Sector 103 Gurgaon,indiabulls centrum park,flats,1.34,7882.0,1700.0,3,3,3,12.0,east,relative new,43,38,1,1,1,1,0,1725,,1700
1390,3 BHK Flat in Sector 92 Gurgaon,bestech park view sanskruti,flats,1.55,9687.0,1600.0,3,3,3,17.0,na,relative new,61,60,0,1,0,0,0,1995,,1600
1391,3 BHK Flat in Golf Course Ext Road,pareena micasa,flats,1.3,8666.0,1500.0,3,3,3,12.0,na,under construction,0,0,0,0,0,0,0,1500,,
1392,3 BHK Flat in Sector 67 Gurgaon,m3m merlin,flats,2.65,12945.0,2047.0,3,3,3,0.0,north-east,relative new,87,174,0,0,0,0,1,2047,1900,1700
1393,2 Bedroom House for sale in Sohna,independent,houses,1.5,14245.0,1053.0,2,3,2,1.0,North,new property,94,69,1,0,0,1,0,,,
1394,1 BHK Flat in Sector 40 Gurgaon,lig flat,flats,1.5,50000.0,300.0,1,1,0,0.0,na,Undefined,1,0,0,0,0,0,0,,300,
1395,3 BHK Flat in Sector 48 Gurgaon,parsvnath green ville,flats,2.0,7765.0,2576.0,3,3,0,15.0,na,relative new,0,74,0,1,0,0,0,2125,,
1396,3 BHK Flat in Sector 37D Gurgaon,bptp terra,flats,1.55,8558.0,1811.0,3,3,3,11.0,south,relative new,27,79,0,0,0,0,0,1811,,
1397,4 Bedroom House for sale in DLF Phase 4,independent,houses,12.0,42194.0,2844.0,4,5,3,4.0,East,relative new,24,60,0,1,1,1,0,,,
1398,2 BHK Flat in Sector 79 Gurgaon,m3m golfestate,flats,1.4,10000.0,1400.0,2,2,2,4.0,east,undefined,34,83,1,1,1,0,0,,,1400
