society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
signature global solera,flats,sector 107,0.28,5623.0,498.0,2.0,2.0,2.0,14.0,north-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
signature global city 92,flats,sector 92,0.78,7722.0,1010.0,2.0,2.0,3.0,2.0,na,under construction,semifurnished,low,0.0,0.0,0.0,0.0,1.0
independent,houses,sector 48,8.4,25926.0,3240.0,4.0,4.0,3.0,2.0,Na,old property,semifurnished,low,0.0,1.0,0.0,1.0,0.0
mahindra luminare,flats,sector 59,5.5,18181.0,3025.0,3.0,3.0,1.0,26.0,na,under construction,semifurnished,low,0.0,1.0,0.0,0.0,0.0
professional society,flats,manesar,0.75,3067.0,2445.0,3.0,4.0,3.0,3.0,east,relative new,semifurnished,low,0.0,1.0,0.0,0.0,0.0
experion windchants,flats,sector 112,2.5,13888.0,1800.0,2.0,2.0,3.0,10.0,east,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
pyramid urban homes 2,flats,sector 86,0.43,8582.0,501.0,2.0,2.0,1.0,6.0,north-east,new property,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
ats kocoon,flats,sector 109,2.22,10596.0,2095.0,3.0,3.0,3.0,20.0,east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
bptp terra,flats,sector 37d,1.67,7622.0,2191.0,4.0,4.0,3.0,11.0,west,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
emaar mgf emerald floors premier,flats,sector 65,2.4,14545.0,1650.0,3.0,3.0,3.0,3.0,east,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.75,8883.0,1970.0,4.0,4.0,1.0,12.0,north-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 25,10.5,29022.0,3618.0,5.0,5.0,3.0,3.0,East,relative new,unfurnished,mid,1.0,1.0,0.0,1.0,0.0
palam vihar society,flats,sector 2,3.35,7444.0,4500.0,4.0,4.0,3.0,2.0,na,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
greenopolis,flats,sector 89,0.8,6168.0,1297.0,2.0,2.0,2.0,6.0,south,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.26,7636.0,1650.0,3.0,3.0,2.0,12.0,north,relative new,unfurnished,low,0.0,0.0,0.0,0.0,1.0
