society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
prime habitat,flats,sector 99a,0.26,4745.0,548.0,2.0,2.0,1.0,6.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
vatika the seven lamps,flats,sector 82,0.94,6567.0,1431.0,2.0,2.0,2.0,12.0,east,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
sare homes,flats,sector 92,1.18,5207.0,2266.0,4.0,4.0,3.0,8.0,north,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 4,0.47,8012.0,587.0,2.0,1.0,1.0,1.0,East,relative new,unfurnished,low,0.0,0.0,1.0,0.0,0.0
adani m2k oyster grande,flats,sector 102,2.35,8468.0,2775.0,3.0,3.0,3.0,14.0,east,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.87,7780.0,2404.0,3.0,4.0,3.0,7.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
bestech park view residency,flats,sector 2,0.98,6961.0,1408.0,2.0,2.0,3.0,0.0,east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 7,6.5,15046.0,4320.0,3.0,2.0,3.0,3.0,Na,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
vatika city,flats,sector 49,1.85,10578.0,1749.0,3.0,3.0,1.0,7.0,south-west,relative new,unfurnished,high,0.0,0.0,1.0,1.0,0.0
ireo victory valley,flats,sector 67,3.49,13000.0,2685.0,3.0,3.0,3.0,19.0,south-east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
mapsko mount ville,flats,sector 79,1.55,8539.0,1815.0,3.0,4.0,3.0,11.0,south-west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 41,1.65,13750.0,1200.0,1.0,1.0,0.0,1.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
signature global park 4,flats,sector 36,0.72,6428.0,1120.0,3.0,2.0,3.0,2.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 23,5.5,21825.0,2520.0,8.0,8.0,2.0,3.0,East,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,0.0
godrej habitat,flats,sector 3,1.1,10410.0,1057.0,2.0,2.0,2.0,14.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
smart world gems,flats,sector 89,0.95,8600.0,1105.0,2.0,2.0,2.0,4.0,na,new property,unfurnished,mid,1.0,1.0,0.0,0.0,0.0
independent,houses,sector 39,1.6,17937.0,892.0,1.0,1.0,2.0,2.0,Na,old property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
m3m woodshire,flats,sector 107,0.88,6442.0,1366.0,2.0,2.0,3.0,3.0,east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
antriksh heights,flats,sector 84,0.89,4370.0,2037.0,3.0,3.0,3.0,8.0,north,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
independent,houses,sector 13,4.5,9091.0,4950.0,4.0,5.0,2.0,2.0,East,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
vatika emilia floors,flats,sector 83,0.65,6190.0,1050.0,2.0,2.0,2.0,1.0,south,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
pioneer park,flats,sector 61,3.6,12627.0,2851.0,4.0,4.0,3.0,3.0,north,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
m3m sierra 68,flats,sector 68,1.1,8986.0,1224.0,2.0,2.0,3.0,1.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 41,7.25,29293.0,2475.0,9.0,8.0,3.0,4.0,South-West,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
parsvnath exotica,flats,sector 53,4.8,16580.0,2895.0,3.0,4.0,3.0,8.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,1.0
dlf new town heights,flats,sector 86,1.3,6735.0,1930.0,3.0,3.0,3.0,15.0,south,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
bptp visionnaire,houses,sector 70a,6.0,22222.0,2700.0,5.0,4.0,3.0,3.0,North-East,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
adani m2k oyster grande,flats,sector 102,1.9,14074.0,1350.0,3.0,4.0,3.0,21.0,na,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
dlf the belaire,flats,sector 54,7.0,23333.0,3000.0,4.0,6.0,3.0,12.0,east,relative new,semifurnished,mid,0.0,1.0,1.0,1.0,0.0
independent,houses,sector 27,8.0,26298.0,3042.0,9.0,9.0,3.0,4.0,North-East,relative new,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
godrej nature plus serenity,flats,sector 33,1.45,8677.0,1671.0,3.0,2.0,3.0,3.0,south,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,1.05,11475.0,915.0,2.0,2.0,2.0,0.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
raheja revanta,flats,sector 78,4.75,16885.0,2813.0,3.0,3.0,2.0,31.0,na,under construction,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
parsvnath green ville,flats,sector 48,1.42,8606.0,1650.0,3.0,3.0,3.0,1.0,north-west,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
ss the leaf,flats,sector 85,1.75,7267.0,2408.0,3.0,4.0,3.0,8.0,north,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
hsiidc sidco aravali,flats,manesar,0.9,3477.0,2588.0,3.0,3.0,3.0,2.0,na,old property,fullyfurnished,low,0.0,1.0,0.0,0.0,0.0
chd avenue,flats,sector 71,0.95,7929.0,1198.0,2.0,2.0,2.0,5.0,south,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
vatika city homes,flats,sector 83,0.75,5660.0,1325.0,2.0,2.0,2.0,3.0,west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf the ultima,flats,sector 81,3.45,12012.0,2872.0,4.0,4.0,3.0,10.0,east,new property,fullyfurnished,high,0.0,1.0,0.0,0.0,0.0
signature global the millennia,flats,sector 37d,0.6,9230.0,650.0,2.0,2.0,3.0,7.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.65,8872.0,1860.0,3.0,3.0,2.0,1.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 3 phase 3 extension,0.7,7007.0,999.0,2.0,3.0,1.0,1.0,North,relative new,unfurnished,mid,0.0,0.0,1.0,1.0,0.0
signature andour heights,flats,sector 71,0.37,7400.0,500.0,1.0,1.0,2.0,2.0,north-east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.55,9955.0,1557.0,3.0,2.0,3.0,8.0,east,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
bestech park view grand spa,flats,sector 81,2.91,9136.0,3185.0,4.0,5.0,2.0,6.0,north-east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
birla navya,flats,sector 63a,2.2,17488.0,1258.0,2.0,3.0,3.0,4.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
the crew bos chs manesar,flats,manesar,0.85,3695.0,2300.0,3.0,3.0,2.0,2.0,east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
ats triumph,flats,sector 104,2.6,8813.0,2950.0,4.0,4.0,3.0,16.0,east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
unitech espace,houses,sector 50,7.45,34491.0,2160.0,4.0,4.0,3.0,3.0,Na,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
ats tourmaline,flats,sector 109,2.3,8897.0,2585.0,3.0,4.0,3.0,10.0,east,new property,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
umang winter hills,flats,sector 77,0.8,5961.0,1342.0,2.0,2.0,2.0,10.0,north,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
avl 36 gurgaon,flats,sector 36a,0.4,10204.0,392.0,1.0,1.0,1.0,4.0,west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
experion windchants,flats,sector 112,4.25,11294.0,3763.0,3.0,5.0,2.0,15.0,south,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
conscient heritage max,flats,sector 102,1.7,11333.0,1500.0,3.0,4.0,3.0,8.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
independent,houses,sector 21,1.6,11852.0,1350.0,5.0,5.0,2.0,3.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ss aaron ville,houses,sector 49,6.75,19737.0,3420.0,5.0,4.0,2.0,2.0,North,old property,unfurnished,mid,1.0,1.0,1.0,0.0,0.0
ireo the corridors,flats,sector 67a,2.08,12044.0,1727.0,3.0,3.0,2.0,6.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,1.0
independent,houses,sector 12,2.5,13888.0,1800.0,9.0,5.0,2.0,1.0,South-East,old property,unfurnished,low,0.0,0.0,0.0,1.0,0.0
shree vardhman flora,flats,sector 90,0.7,5325.0,1315.0,2.0,2.0,3.0,9.0,east,new property,unfurnished,low,1.0,0.0,0.0,0.0,0.0
corona optus,flats,sector 37c,1.25,7090.0,1763.0,3.0,3.0,3.0,4.0,north-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
silverglades the melia,flats,sohna road,0.75,5555.0,1350.0,2.0,2.0,2.0,4.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.85,6578.0,2812.0,4.0,5.0,3.0,1.0,north-west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
dlf exclusive floors,flats,sector 43,2.35,14242.0,1650.0,3.0,3.0,2.0,1.0,north-east,old property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
godrej nature plus,flats,sector 33,1.08,13126.0,823.0,2.0,2.0,3.0,8.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
smart world orchard,flats,sector 61,2.41,14785.0,1630.0,3.0,3.0,3.0,2.0,east,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf the primus,flats,sector 82a,2.7,10481.0,2576.0,4.0,4.0,3.0,18.0,east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
ss the leaf,flats,sector 85,1.22,13318.0,916.0,2.0,2.0,3.0,16.0,north-east,relative new,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
ambience creacions,flats,sector 22,4.8,19200.0,2500.0,4.0,6.0,3.0,10.0,north-east,new property,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
godrej oasis,flats,sector 88a,1.38,6679.0,2066.0,3.0,3.0,3.0,7.0,north,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
ansals florence villa,houses,sector 57,6.0,22222.0,2700.0,4.0,5.0,2.0,2.0,Na,old property,semifurnished,low,0.0,1.0,0.0,1.0,0.0
independent,houses,sector 28,11.75,41315.0,2844.0,4.0,5.0,3.0,4.0,East,relative new,fullyfurnished,mid,1.0,1.0,1.0,0.0,0.0
dlf new town heights,flats,sector 86,1.55,6578.0,2356.0,4.0,4.0,3.0,12.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
orris aster court,flats,sector 85,0.69,5221.0,1322.0,2.0,2.0,2.0,5.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
rattan garden,houses,sector 7,0.83,17584.0,472.0,5.0,3.0,2.0,3.0,East,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
signature global park 4,flats,sector 36,0.82,7585.0,1081.0,3.0,2.0,3.0,2.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf new town heights,flats,sector 86,1.26,6113.0,2061.0,3.0,3.0,3.0,5.0,west,relative new,unfurnished,high,0.0,1.0,0.0,0.0,1.0
krrish provence estate,flats,gwal pahari,7.5,7500.0,10000.0,5.0,6.0,3.0,23.0,north-east,relative new,unfurnished,mid,0.0,1.0,0.0,1.0,1.0
ats marigold,flats,sector 89,1.5,8571.0,1750.0,3.0,3.0,3.0,2.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
independent,houses,sector 2,4.99,18889.0,2642.0,4.0,4.0,3.0,3.0,North,relative new,unfurnished,mid,0.0,1.0,1.0,1.0,0.0
tulip monsella,flats,sector 53,8.25,28000.0,2946.0,3.0,4.0,3.0,8.0,na,under construction,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
godrej aria,flats,sector 79,1.69,8522.0,1983.0,3.0,3.0,2.0,7.0,south,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
central park flower valley,flats,sector 33,1.35,10384.0,1300.0,3.0,2.0,2.0,3.0,west,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
orchid petals,flats,sector 49,2.55,12318.0,2070.0,3.0,4.0,3.0,8.0,east,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
emaar gurgaon greens,flats,sector 102,1.6,9696.0,1650.0,3.0,3.0,3.0,8.0,na,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
essel towers,flats,sector 14,2.2,12500.0,1760.0,3.0,4.0,3.0,3.0,na,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ambience creacions,flats,sector 22,3.5,19444.0,1800.0,3.0,4.0,3.0,8.0,east,new property,semifurnished,low,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 1,1.85,16003.0,1156.0,4.0,3.0,2.0,3.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 109,1.55,6567.0,2360.0,3.0,2.0,0.0,1.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ireo skyon,flats,sector 60,2.5,16129.0,1550.0,2.0,3.0,2.0,4.0,north-west,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
m3m heights,flats,sector 65,2.44,13300.0,1835.0,3.0,3.0,2.0,7.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.15,11558.0,995.0,2.0,2.0,2.0,15.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
on request,flats,sector 103,1.69,9146.0,1848.0,3.0,3.0,3.0,8.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip leaf,flats,sector 69,2.07,11423.0,1812.0,3.0,3.0,3.0,16.0,south-west,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
signature global city,flats,sector 37d,0.8,8421.0,950.0,2.0,2.0,2.0,2.0,na,under construction,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
unitech uniworld resorts,houses,sector 33,9.5,173992.0,546.0,6.0,6.0,3.0,3.0,North-East,relative new,fullyfurnished,mid,0.0,0.0,0.0,0.0,0.0
viridian the plaza 106,flats,sector 106,0.46,6571.0,700.0,1.0,1.0,1.0,18.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 43,6.5,35400.0,1836.0,5.0,4.0,3.0,3.0,South-East,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
breez global hill view,flats,sohna road,0.3,5403.0,555.0,2.0,2.0,2.0,6.0,north-east,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
emaar imperial gardens,flats,sector 102,1.91,9550.0,2000.0,3.0,4.0,2.0,17.0,east,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
citizen apartment,flats,sector 51,3.55,6826.0,5201.0,5.0,6.0,3.0,11.0,north,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
zara aavaas,flats,sector 104,0.49,6577.0,745.0,3.0,2.0,2.0,7.0,na,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.68,8358.0,2010.0,4.0,4.0,2.0,7.0,north,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,1.95,17285.0,1128.0,3.0,3.0,3.0,12.0,north-east,new property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
tulip violet,flats,sector 69,1.76,9513.0,1850.0,3.0,4.0,2.0,0.0,south-west,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
paras dews,flats,sector 106,1.15,6534.0,1760.0,3.0,4.0,3.0,12.0,east,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
independent,houses,sector 45,10.0,30864.0,3240.0,6.0,6.0,3.0,4.0,North-East,relative new,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
alpha corp gurgaonone,flats,sector 84,1.15,7496.0,1534.0,2.0,2.0,3.0,8.0,north-east,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
international city by sobha phase 1,houses,sector 109,6.1,25103.0,2430.0,5.0,6.0,3.0,2.0,Na,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
ats tourmaline,flats,sector 109,1.75,8139.0,2150.0,3.0,4.0,3.0,9.0,north-east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 26,5.8,12837.0,4518.0,4.0,4.0,3.0,4.0,Na,old property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 17,0.29,3254.0,891.0,2.0,1.0,0.0,0.0,West,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
palam vihar extension west zone rwa,flats,sector 2,0.2,4000.0,500.0,1.0,1.0,1.0,1.0,na,relative new,semifurnished,low,0.0,0.0,0.0,0.0,1.0
adani m2k oyster grande,flats,sector 102,2.5,7817.0,3198.0,4.0,5.0,3.0,10.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
emaar mgf marbella,houses,sector 66,18.0,40000.0,4500.0,5.0,6.0,3.0,3.0,North-East,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
ireo victory valley,houses,sector 67,8.0,22222.0,3600.0,6.0,7.0,3.0,51.0,North-East,relative new,fullyfurnished,mid,1.0,1.0,0.0,1.0,0.0
m3m merlin,flats,sector 67,3.5,14583.0,2400.0,3.0,4.0,3.0,17.0,south-east,relative new,semifurnished,high,0.0,1.0,1.0,0.0,0.0
godrej frontier,flats,sector 80,1.6,7000.0,2286.0,3.0,3.0,3.0,5.0,na,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
vatika boulevard residences and heights,flats,sector 83,1.42,8000.0,1775.0,3.0,3.0,2.0,2.0,west,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
ild greens,flats,sector 37c,1.0,4320.0,2315.0,3.0,3.0,3.0,5.0,north,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
ild greens,flats,sector 37c,0.75,5245.0,1430.0,2.0,2.0,3.0,13.0,east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
the khushboo cooperative housing society ltd,flats,sector 9a,0.88,4888.0,1800.0,3.0,3.0,2.0,2.0,north-west,old property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
godrej oasis,flats,sector 88a,1.19,10162.0,1171.0,2.0,2.0,3.0,15.0,south-east,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
ss the leaf,flats,sector 85,1.93,8075.0,2390.0,3.0,4.0,3.0,7.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,2.4,10545.0,2276.0,4.0,4.0,3.0,15.0,north-east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 4,0.4,8889.0,450.0,1.0,1.0,0.0,1.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
international city by sobha phase 1,houses,sector 109,5.7,10556.0,5400.0,4.0,4.0,3.0,4.0,East,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
sidhartha ncr greens,flats,sector 95,0.56,5656.0,990.0,2.0,2.0,3.0,13.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
sidhartha ncr one phase,flats,sector 95,0.46,4646.0,990.0,2.0,2.0,0.0,6.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
the lions cghs,flats,sector 56,2.05,8541.0,2400.0,4.0,4.0,3.0,8.0,west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
corona optus,flats,sector 37c,1.44,7250.0,1986.0,3.0,3.0,3.0,8.0,north-west,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
trisara our homes 3,flats,sohna road,0.35,5564.0,629.0,2.0,2.0,1.0,2.0,north,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
la vida by tata housing,flats,sector 113,2.7,16363.0,1650.0,3.0,4.0,3.0,4.0,north-west,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
ansal heights 86,flats,sector 86,1.25,7396.0,1690.0,3.0,2.0,1.0,11.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 55,5.6,20741.0,2700.0,6.0,4.0,3.0,3.0,East,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
aipl joy square,flats,sector 63a,0.7,10101.0,693.0,1.0,1.0,0.0,7.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,0.96,10491.0,915.0,2.0,2.0,2.0,10.0,east,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
vipul tatvam villa,houses,sector 48,22.0,26667.0,8250.0,5.0,6.0,3.0,3.0,Na,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
signature global city 37d ph 2,flats,sector 37d,1.1,8148.0,1350.0,3.0,3.0,1.0,2.0,north,under construction,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
bestech park view grand spa,flats,sector 81,3.3,12222.0,2700.0,4.0,5.0,3.0,4.0,north-east,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
housing board colony,flats,sector 51,0.3,7317.0,410.0,1.0,1.0,2.0,0.0,south,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
hcbs sports ville,flats,sohna road,0.29,5587.0,519.0,2.0,2.0,1.0,4.0,na,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
unitech fresco,flats,sector 50,1.8,9589.0,1877.0,3.0,4.0,3.0,6.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
godrej frontier,flats,sector 80,1.4,6189.0,2262.0,3.0,4.0,2.0,10.0,north-west,relative new,unfurnished,high,0.0,0.0,1.0,1.0,0.0
pareena coban residences,flats,sector 99a,1.4,7010.0,1997.0,3.0,5.0,3.0,6.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 56,11.95,43534.0,2745.0,12.0,12.0,3.0,4.0,West,relative new,fullyfurnished,low,0.0,1.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,2.12,11447.0,1852.0,3.0,3.0,3.0,9.0,south-east,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
paras dews,flats,sector 106,1.5,6369.0,2355.0,4.0,6.0,3.0,11.0,north-west,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
dlf new town heights,flats,sector 91,1.65,6345.0,2600.0,4.0,4.0,3.0,11.0,west,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
mittal surya vihar,flats,sector 21,1.4,5833.0,2400.0,5.0,4.0,2.0,2.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
smart world gems,flats,sector 89,0.88,7963.0,1105.0,2.0,2.0,3.0,2.0,na,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
independent,houses,sector 25,16.0,59259.0,2700.0,16.0,16.0,3.0,4.0,West,new property,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
ansal sushant residency,flats,sector 57,1.5,6775.0,2214.0,3.0,2.0,3.0,1.0,na,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,1.8,10638.0,1692.0,3.0,3.0,3.0,1.0,east,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
birla navya,flats,sector 63a,3.5,25925.0,1350.0,3.0,3.0,3.0,1.0,na,under construction,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
experion windchants,houses,sector 112,9.5,23457.0,4050.0,5.0,5.0,3.0,2.0,Na,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 3 phase 2,0.4,8000.0,500.0,2.0,1.0,0.0,1.0,South,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf city plots phase 3,houses,sector 24,1.44,26667.0,540.0,4.0,2.0,2.0,1.0,Na,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
rof ananda,flats,sector 95,0.38,5899.0,644.0,2.0,2.0,2.0,5.0,na,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.92,15360.0,1250.0,4.0,4.0,2.0,0.0,south,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
bhagwati sadan,flats,sector 12,1.15,5500.0,2091.0,3.0,4.0,2.0,2.0,na,old property,unfurnished,low,0.0,1.0,0.0,0.0,1.0
raheja teachers apartments,flats,sector 31,1.2,7272.0,1650.0,3.0,2.0,2.0,1.0,east,relative new,fullyfurnished,mid,0.0,0.0,0.0,0.0,1.0
central park flower valley,flats,sector 33,1.79,11251.0,1591.0,3.0,3.0,3.0,3.0,south,old property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
chd avenue,flats,sector 71,1.15,6526.0,1762.0,3.0,3.0,2.0,15.0,east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
signature global park,flats,sohna road,0.54,7248.0,745.0,2.0,1.0,3.0,1.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
park royal apartment,flats,sector 56,1.85,9024.0,2050.0,3.0,4.0,3.0,7.0,na,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
mapsko mount ville,flats,sector 79,1.2,8053.0,1490.0,3.0,3.0,3.0,24.0,west,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
rattan vihar rajendra park,houses,dwarka expressway,0.85,14166.0,600.0,5.0,5.0,3.0,4.0,Na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ambience creacions,flats,sector 22,2.55,13709.0,1860.0,3.0,3.0,3.0,8.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
vatika city homes,flats,sector 83,1.08,6206.0,1740.0,3.0,3.0,3.0,6.0,south-west,relative new,unfurnished,high,0.0,0.0,1.0,0.0,0.0
tarc maceo,flats,sector 91,0.95,5954.0,1596.0,2.0,2.0,2.0,10.0,east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
ace palm floors,flats,sector 89,0.97,7863.0,1234.0,2.0,2.0,2.0,1.0,na,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
dlf regency park,flats,sector 28,2.25,14516.0,1550.0,3.0,3.0,2.0,16.0,west,old property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
