property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 109,2.22,2095.0,3.0,3.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 37d,1.67,2191.0,4.0,4.0,3.0,High Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 65,2.4,1650.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
flats,sector 69,1.75,1970.0,4.0,4.0,1.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 25,10.5,3618.0,5.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,1.0,1.0,0.0,1.0,0.0
flats,sector 2,3.35,4500.0,4.0,4.0,3.0,Low Floor,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 89,0.8,1297.0,2.0,2.0,2.0,Mid Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.26,1650.0,3.0,3.0,2.0,High Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,1.0
flats,sector 37d,1.5,1811.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 83,1.08,1735.0,3.0,3.0,2.0,High Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,1.0
flats,sector 2,0.6,735.0,1.0,1.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 83,1.3,2860.0,3.0,3.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 79,1.28,1496.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
flats,sector 49,3.0,2383.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
flats,sector 84,1.02,2095.0,4.0,4.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,1.0,0.0
houses,sector 43,6.25,2034.0,7.0,7.0,3.0,Mid Floor,relative new,unfurnished,mid,1.0,1.0,1.0,0.0,0.0
houses,sector 43,2.2,3200.0,12.0,12.0,3.0,Mid Floor,new property,fullyfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 113,3.21,2715.0,3.0,3.0,3.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 85,1.49,2560.0,4.0,5.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 4,1.05,1350.0,3.0,2.0,2.0,Low Floor,new property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 56,2.05,2600.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
