property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 22,4.8,2500.0,4.0,6.0,3.0,Mid Floor,new property,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 88a,1.38,2066.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 57,6.0,2700.0,4.0,5.0,2.0,Low Floor,old property,semifurnished,low,0.0,1.0,0.0,1.0,0.0
houses,sector 28,11.75,2844.0,4.0,5.0,3.0,Mid Floor,relative new,fullyfurnished,mid,1.0,1.0,1.0,0.0,0.0
flats,sector 86,1.55,2356.0,4.0,4.0,3.0,High Floor,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
flats,sector 85,0.69,1322.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 7,0.83,472.0,5.0,3.0,2.0,Mid Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 36,0.82,1081.0,3.0,2.0,3.0,Low Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 86,1.26,2061.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,1.0
flats,gwal pahari,7.5,10000.0,5.0,6.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,1.0,1.0
flats,sector 89,1.5,1750.0,3.0,3.0,3.0,Low Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
houses,sector 2,4.99,2642.0,4.0,4.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,1.0,1.0,0.0
flats,sector 53,8.25,2946.0,3.0,4.0,3.0,Mid Floor,under construction,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 79,1.69,1983.0,3.0,3.0,2.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 33,1.35,1300.0,3.0,2.0,2.0,Mid Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 49,2.55,2070.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 102,1.6,1650.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 14,2.2,1760.0,3.0,4.0,3.0,Mid Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 22,3.5,1800.0,3.0,4.0,3.0,Mid Floor,new property,semifurnished,low,0.0,1.0,0.0,0.0,0.0
houses,sector 1,1.85,1156.0,4.0,3.0,2.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 109,1.55,2360.0,3.0,2.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 60,2.5,1550.0,2.0,3.0,2.0,Mid Floor,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 65,2.44,1835.0,3.0,3.0,2.0,Mid Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 33,1.15,995.0,2.0,2.0,2.0,High Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 103,1.69,1848.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 69,2.07,1812.0,3.0,3.0,3.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 37d,0.8,950.0,2.0,2.0,2.0,Low Floor,under construction,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 33,9.5,546.0,6.0,6.0,3.0,Mid Floor,relative new,fullyfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 106,0.46,700.0,1.0,1.0,1.0,High Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 43,6.5,1836.0,5.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sohna road,0.3,555.0,2.0,2.0,2.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.91,2000.0,3.0,4.0,2.0,High Floor,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
flats,sector 51,3.55,5201.0,5.0,6.0,3.0,High Floor,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 104,0.49,745.0,3.0,2.0,2.0,Mid Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.68,2010.0,4.0,4.0,2.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.95,1128.0,3.0,3.0,3.0,High Floor,new property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
flats,sector 69,1.76,1850.0,3.0,4.0,2.0,Low Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 106,1.15,1760.0,3.0,4.0,3.0,High Floor,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
houses,sector 45,10.0,3240.0,6.0,6.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,1.0,1.0,0.0
flats,sector 84,1.15,1534.0,2.0,2.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
houses,sector 109,6.1,2430.0,5.0,6.0,3.0,Low Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 109,1.75,2150.0,3.0,4.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 26,5.8,4518.0,4.0,4.0,3.0,Mid Floor,old property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 17,0.29,891.0,2.0,1.0,0.0,Low Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 2,0.2,500.0,1.0,1.0,1.0,Low Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,1.0
flats,sector 102,2.5,3198.0,4.0,5.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
houses,sector 66,18.0,4500.0,5.0,6.0,3.0,Mid Floor,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
houses,sector 67,8.0,3600.0,6.0,7.0,3.0,High Floor,relative new,fullyfurnished,mid,1.0,1.0,0.0,1.0,0.0
flats,sector 67,3.5,2400.0,3.0,4.0,3.0,High Floor,relative new,semifurnished,high,0.0,1.0,1.0,0.0,0.0
flats,sector 80,1.6,2286.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 83,1.42,1775.0,3.0,3.0,2.0,Low Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 37c,1.0,2315.0,3.0,3.0,3.0,Mid Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 37c,0.75,1430.0,2.0,2.0,3.0,High Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 9a,0.88,1800.0,3.0,3.0,2.0,Low Floor,old property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 88a,1.19,1171.0,2.0,2.0,3.0,High Floor,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
flats,sector 85,1.93,2390.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 102,2.4,2276.0,4.0,4.0,3.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 4,0.4,450.0,1.0,1.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 109,5.7,5400.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
flats,sector 95,0.56,990.0,2.0,2.0,3.0,High Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 95,0.46,990.0,2.0,2.0,0.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 56,2.05,2400.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 37c,1.44,1986.0,3.0,3.0,3.0,Mid Floor,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sohna road,0.35,629.0,2.0,2.0,1.0,Low Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 113,2.7,1650.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 86,1.25,1690.0,3.0,2.0,1.0,High Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 55,5.6,2700.0,6.0,4.0,3.0,Mid Floor,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 63a,0.7,693.0,1.0,1.0,0.0,Mid Floor,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 102,0.96,915.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
houses,sector 48,22.0,8250.0,5.0,6.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 37d,1.1,1350.0,3.0,3.0,1.0,Low Floor,under construction,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 81,3.3,2700.0,4.0,5.0,3.0,Mid Floor,relative new,semifurnished,high,1.0,1.0,0.0,0.0,0.0
flats,sector 51,0.3,410.0,1.0,1.0,2.0,Low Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sohna road,0.29,519.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 50,1.8,1877.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 80,1.4,2262.0,3.0,4.0,2.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,1.0,1.0,0.0
flats,sector 99a,1.4,1997.0,3.0,5.0,3.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 56,11.95,2745.0,12.0,12.0,3.0,Mid Floor,relative new,fullyfurnished,low,0.0,1.0,0.0,0.0,0.0
flats,sector 102,2.12,1852.0,3.0,3.0,3.0,Mid Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 106,1.5,2355.0,4.0,6.0,3.0,High Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 91,1.65,2600.0,4.0,4.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 21,1.4,2400.0,5.0,4.0,2.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 89,0.88,1105.0,2.0,2.0,3.0,Low Floor,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
houses,sector 25,16.0,2700.0,16.0,16.0,3.0,Mid Floor,new property,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
flats,sector 57,1.5,2214.0,3.0,2.0,3.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.8,1692.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 63a,3.5,1350.0,3.0,3.0,3.0,Low Floor,under construction,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 112,9.5,4050.0,5.0,5.0,3.0,Low Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 3 phase 2,0.4,500.0,2.0,1.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 24,1.44,540.0,4.0,2.0,2.0,Low Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 95,0.38,644.0,2.0,2.0,2.0,Mid Floor,relative new,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 69,1.92,1250.0,4.0,4.0,2.0,Low Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 12,1.15,2091.0,3.0,4.0,2.0,Low Floor,old property,unfurnished,low,0.0,1.0,0.0,0.0,1.0
flats,sector 31,1.2,1650.0,3.0,2.0,2.0,Low Floor,relative new,fullyfurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 33,1.79,1591.0,3.0,3.0,3.0,Mid Floor,old property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 71,1.15,1762.0,3.0,3.0,2.0,High Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sohna road,0.54,745.0,2.0,1.0,3.0,Low Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 56,1.85,2050.0,3.0,4.0,3.0,Mid Floor,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 79,1.2,1490.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
houses,dwarka expressway,0.85,600.0,5.0,5.0,3.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 22,2.55,1860.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,1.0
flats,sector 83,1.08,1740.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,1.0,0.0,0.0
flats,sector 91,0.95,1596.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 89,0.97,1234.0,2.0,2.0,2.0,Low Floor,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 28,2.25,1550.0,3.0,3.0,2.0,High Floor,old property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 72,6.75,3500.0,4.0,4.0,3.0,Low Floor,new property,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 106,2.1,2355.0,4.0,6.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 68,0.82,1180.0,2.0,2.0,3.0,High Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 24,14.0,700.0,4.0,5.0,3.0,Mid Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 104,2.25,2150.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 36,1.0,1010.0,3.0,2.0,3.0,Low Floor,new property,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 79,0.83,1530.0,2.0,2.0,3.0,Mid Floor,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 78,0.62,1239.0,2.0,2.0,1.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
flats,sector 107,0.36,548.0,2.0,2.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 56,2.1,2400.0,3.0,4.0,3.0,Mid Floor,old property,semifurnished,high,0.0,0.0,0.0,0.0,1.0
flats,sector 48,1.86,2430.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 60,2.15,921.0,2.0,3.0,2.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 6,0.48,900.0,3.0,2.0,2.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 2,1.0,1215.0,9.0,7.0,3.0,Mid Floor,relative new,semifurnished,low,0.0,0.0,0.0,1.0,0.0
flats,sector 74,1.5,1400.0,2.0,2.0,1.0,Mid Floor,new property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sohna road,0.75,1081.0,3.0,2.0,3.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 24,3.51,2844.0,4.0,4.0,3.0,Mid Floor,under construction,semifurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 86,1.3,2786.0,4.0,6.0,2.0,High Floor,new property,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 92,0.95,1897.0,4.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 90,1.21,1938.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,1.0,0.0,1.0,0.0
flats,sector 104,4.45,6500.0,4.0,5.0,3.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 89,1.25,1423.0,3.0,3.0,0.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 85,1.17,1671.0,2.0,2.0,3.0,High Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 3 phase 3 extension,0.22,523.0,2.0,2.0,1.0,Low Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
houses,sector 41,9.25,3240.0,9.0,9.0,3.0,Mid Floor,relative new,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
flats,sector 69,1.4,1580.0,3.0,3.0,2.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 104,1.8,2290.0,3.0,4.0,3.0,High Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 67,3.65,2698.0,3.0,4.0,3.0,High Floor,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 85,1.07,1640.0,2.0,2.0,3.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 83,0.6,1050.0,2.0,2.0,2.0,Low Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
houses,sector 49,6.75,2088.0,12.0,12.0,3.0,Mid Floor,relative new,fullyfurnished,mid,1.0,1.0,0.0,1.0,1.0
flats,sohna road,0.4,893.0,2.0,2.0,2.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.32,1569.0,3.0,3.0,1.0,High Floor,relative new,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 104,1.58,1733.0,2.0,3.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 105,0.43,471.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 37c,0.95,1030.0,2.0,2.0,3.0,High Floor,relative new,semifurnished,high,0.0,0.0,1.0,1.0,0.0
flats,sector 2,0.35,800.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 70,1.1,1300.0,2.0,2.0,2.0,Low Floor,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
houses,sector 50,7.35,1760.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 85,1.2,1240.0,2.0,2.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
houses,sector 43,9.85,3323.0,5.0,5.0,2.0,Mid Floor,old property,unfurnished,low,1.0,1.0,0.0,1.0,0.0
flats,sector 92,1.6,1995.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,1.0
flats,sector 33,1.4,926.0,3.0,2.0,3.0,High Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 33,1.5,1471.0,2.0,2.0,3.0,Low Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 81,0.39,600.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 66,19.0,6000.0,5.0,6.0,3.0,Mid Floor,relative new,fullyfurnished,mid,0.0,1.0,1.0,1.0,0.0
flats,sector 108,0.7,1500.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 102,0.95,915.0,2.0,2.0,2.0,High Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 43,2.5,2450.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 102,1.3,1650.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 39,1.7,945.0,2.0,2.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,1.0,0.0,0.0
houses,sector 14,5.0,2250.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 108,0.8,1961.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
flats,sector 102,1.95,1400.0,3.0,3.0,3.0,Mid Floor,new property,semifurnished,high,0.0,0.0,0.0,1.0,0.0
flats,sector 89,1.13,1329.0,3.0,3.0,2.0,Mid Floor,under construction,unfurnished,high,1.0,0.0,0.0,0.0,0.0
flats,sector 70,1.25,1350.0,2.0,2.0,3.0,Mid Floor,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 85,2.17,2812.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,0.0
flats,sector 66,3.5,2125.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 43,2.5,2650.0,4.0,4.0,3.0,Low Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 79,2.69,2152.0,3.0,4.0,3.0,Mid Floor,new property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 26,16.0,4500.0,5.0,6.0,3.0,Low Floor,old property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 99,0.82,1365.0,2.0,2.0,3.0,Low Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 49,4.45,2880.0,6.0,6.0,3.0,Mid Floor,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
houses,sector 48,8.25,2160.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,1.0,0.0,0.0
flats,sector 79,1.2,1490.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 99a,0.32,687.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 79,2.03,2244.0,3.0,4.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
houses,sector 17,3.0,2700.0,4.0,4.0,0.0,Low Floor,undefined,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 93,0.4,544.0,2.0,2.0,2.0,High Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 104,1.2,1446.0,3.0,2.0,3.0,High Floor,relative new,semifurnished,high,1.0,0.0,0.0,1.0,0.0
flats,sector 62,6.5,4337.0,4.0,4.0,3.0,Mid Floor,relative new,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
houses,sector 45,8.5,3240.0,5.0,4.0,2.0,Low Floor,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 92,1.3,2040.0,4.0,4.0,0.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 59,4.25,2295.0,3.0,4.0,3.0,Mid Floor,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 102,0.47,526.0,2.0,2.0,1.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
flats,sector 95,0.32,549.0,2.0,2.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 70,1.65,1950.0,3.0,4.0,3.0,Low Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 102,1.4,1650.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 61,2.54,1639.0,3.0,3.0,3.0,Low Floor,under construction,unfurnished,low,0.0,0.0,1.0,0.0,0.0
flats,sector 63a,1.65,1081.0,2.0,2.0,2.0,Low Floor,under construction,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 70,1.9,1950.0,3.0,3.0,3.0,Mid Floor,new property,unfurnished,mid,0.0,1.0,1.0,1.0,1.0
flats,sector 102,1.85,2025.0,3.0,3.0,3.0,Low Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 12,0.35,867.0,2.0,2.0,1.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 56,7.25,2471.0,8.0,8.0,3.0,Low Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 7,1.95,1440.0,2.0,2.0,2.0,Low Floor,old property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 65,2.3,1650.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sohna road,0.32,744.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.29,1430.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,1.0,0.0,0.0,0.0,0.0
houses,sector 83,1.7,2160.0,3.0,3.0,3.0,Mid Floor,new property,semifurnished,low,0.0,1.0,0.0,1.0,0.0
flats,sector 83,1.25,1980.0,3.0,3.0,2.0,Low Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 49,1.98,2182.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 65,2.8,1650.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
flats,sohna road,0.56,822.0,2.0,2.0,3.0,Mid Floor,new property,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 33,2.0,1789.0,3.0,3.0,3.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 63a,8.5,3132.0,6.0,6.0,3.0,Mid Floor,under construction,unfurnished,mid,0.0,0.0,1.0,1.0,0.0
houses,sector 56,3.6,1449.0,5.0,5.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 3,1.25,1444.0,2.0,2.0,3.0,High Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 109,2.95,3150.0,4.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 81,0.9,1780.0,3.0,3.0,0.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 102,2.0,1128.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,high,0.0,0.0,1.0,0.0,0.0
